volt_V1,volt_V2,volt_V3,current_A1,current_A2,current_A3,power_kW,power_factor,motor_temp_C
0.1273907,0.09611279,0.117572755,0.11201511,0.110365786,0.09661996,0.13696839,0.09908278,0.10387171
0.12689929,0.0918403,0.11649864,0.10782447,0.107275315,0.10647409,0.14645791,0.09759849,0.099131614
0.115340434,0.09255773,0.12663734,0.11575078,0.10045142,0.09933682,0.13729528,0.110282004,0.10234818
0.11148296,0.0980297,0.12711127,0.092346564,0.104984656,0.1024455,0.13136218,0.106218755,0.12601839
0.12588955,0.10347368,0.13189188,0.08981509,0.09366773,0.09467001,0.12962505,0.102047995,0.12891904
0.11938415,0.094125986,0.13530515,0.07668332,0.11269398,0.10649895,0.11959999,0.09912186,0.1365866
0.13063832,0.10352309,0.118139766,0.09801299,0.12158795,0.10621569,0.12237271,0.0985368,0.10097271
0.13279256,0.09729757,0.12316394,0.07611063,0.123554185,0.10645887,0.11395313,0.116582684,0.11008646
0.12445246,0.09684366,0.12645127,0.09149904,0.13666905,0.10104543,0.1090777,0.10005126,0.11391012
0.12955602,0.09159768,0.13328296,0.07572452,0.12063677,0.11220183,0.104491696,0.10581902,0.12668951
0.12637278,0.10351236,0.13123561,0.07787367,0.12388531,0.10387745,0.09909234,0.1082155,0.12593502
0.13369456,0.104056254,0.12632029,0.082139134,0.11502985,0.09775588,0.10679675,0.10360971,0.1305975
0.13487896,0.11272731,0.12190797,0.089523956,0.11701583,0.09516109,0.09694647,0.10036908,0.13146922
0.1364771,0.11366894,0.10383054,0.1013306,0.11761084,0.10348572,0.10346815,0.09577213,0.12435592
0.11692379,0.10210269,0.12046327,0.109460115,0.11049105,0.10318299,0.095701344,0.11896792,0.1227069
0.11283923,0.101385936,0.11063251,0.121167794,0.10825664,0.107153356,0.09533346,0.1157147,0.12751642
0.11890841,0.104355924,0.116256006,0.12428673,0.11071838,0.110600665,0.08759918,0.10098047,0.12629426
0.11843482,0.0956349,0.111054935,0.1357883,0.12211491,0.10867805,0.079892784,0.10891172,0.11948949
0.12554237,0.10753814,0.11244062,0.14079499,0.11267438,0.101795994,0.0796773,0.093166165,0.12637009
0.12125935,0.11684922,0.10692109,0.13452497,0.10526251,0.10904711,0.088282965,0.09462049,0.12323237
0.12004203,0.11215474,0.101696655,0.13692899,0.10867286,0.11913042,0.09100004,0.09735058,0.113023646
0.12586094,0.11338065,0.11637092,0.13604622,0.112613745,0.12124009,0.08191578,0.08448902,0.10808262
0.123896606,0.13270238,0.11976495,0.12760732,0.10448307,0.120833434,0.082265176,0.08675429,0.10169282
0.13354757,0.13020214,0.117973365,0.11281949,0.09043464,0.12159075,0.113312975,0.087403625,0.09271547
0.12978686,0.12982151,0.13157871,0.13101435,0.1032996,0.11630892,0.09647938,0.083319604,0.07839099
0.13089563,0.13275522,0.13144042,0.11312901,0.10306672,0.11695894,0.098216906,0.09231337,0.08122383
0.11494257,0.12936789,0.13478692,0.11467186,0.11042169,0.111015975,0.09926108,0.08613018,0.09940186
0.11506107,0.1328592,0.13091041,0.09778218,0.10527038,0.11072804,0.09875057,0.11592168,0.092716426
0.11411247,0.13249421,0.1330046,0.10687544,0.108763665,0.11014359,0.10407551,0.107799016,0.08273146
0.11872535,0.11248318,0.13483612,0.12658292,0.113078944,0.10481187,0.097589456,0.09918725,0.092704944
0.10262894,0.13834314,0.13876836,0.11433155,0.09655281,0.09296911,0.10332763,0.10139475,0.111683734
0.09225946,0.12471769,0.14716524,0.10861707,0.10719736,0.1055752,0.112228364,0.102797024,0.09944266
0.09389064,0.097804226,0.15568961,0.100026555,0.12597908,0.103265435,0.10572195,0.10899886,0.1086236
0.09196445,0.103261076,0.14462565,0.10431168,0.13027224,0.09427157,0.105770946,0.11021872,0.115303606
0.097424656,0.09317077,0.13630694,0.0943509,0.1333073,0.0935218,0.111239284,0.119575255,0.12110318
0.10480404,0.11903997,0.12046466,0.092078514,0.14564012,0.09282467,0.10024623,0.108574346,0.116327435
0.1132012,0.12616657,0.12501559,0.09381616,0.13967368,0.08912257,0.09034268,0.10913255,0.11352897
0.115820505,0.12176114,0.12424055,0.09224394,0.12987863,0.09716743,0.08572965,0.123585425,0.10957275
0.1210036,0.122150846,0.12971377,0.085655004,0.1345582,0.09560266,0.08964065,0.114074655,0.10760067
0.112461396,0.13586305,0.123236045,0.08202337,0.12929806,0.09625184,0.092665605,0.1181028,0.11009785
0.12755728,0.10703896,0.12805493,0.07897855,0.15181878,0.10610522,0.087530255,0.10560566,0.107310444
0.12841904,0.12621161,0.102531955,0.07789329,0.12588766,0.12458617,0.0897617,0.12557554,0.09913311
0.14626436,0.1179075,0.08672065,0.093409576,0.122452326,0.117220774,0.09035304,0.12181701,0.10385478
0.14554565,0.12106056,0.09384062,0.08789146,0.1292471,0.1214639,0.09182322,0.10465768,0.10446981
0.14555871,0.12740038,0.09740885,0.07886925,0.12812632,0.12399815,0.09161078,0.09789263,0.109134845
0.1321602,0.100817025,0.0932257,0.11429839,0.11686027,0.12758815,0.093815625,0.12782972,0.09340491
0.16805187,0.08820881,0.09026399,0.09286535,0.11529913,0.12675905,0.099349245,0.11617484,0.10302776
0.15827863,0.102499686,0.09168762,0.09675503,0.11424481,0.1153063,0.100369826,0.11940302,0.10145505
0.17363735,0.095107496,0.086072184,0.107062176,0.11130656,0.11868219,0.09112559,0.109503984,0.10750241
0.18059699,0.10356213,0.090542525,0.09734526,0.11125398,0.12731479,0.096695304,0.100548476,0.09214054
0.16702724,0.101308286,0.09507618,0.09852203,0.10620626,0.110975,0.10292984,0.11542387,0.102531314
0.17833182,0.10357854,0.104785874,0.10254669,0.10986467,0.10762387,0.090042055,0.10941859,0.09380793
0.17019452,0.10203255,0.10178619,0.10630587,0.112426296,0.105478875,0.094800696,0.106580555,0.100394495
0.15790161,0.106254935,0.09052079,0.120444275,0.12118568,0.11085533,0.09221061,0.11018406,0.09044268
0.16445948,0.10626218,0.09359796,0.12631986,0.11513761,0.10398889,0.08714405,0.10947462,0.093615346
0.16651261,0.113228045,0.099043295,0.1321454,0.1042278,0.106551215,0.085721925,0.08785447,0.10471526
0.14755462,0.11170652,0.114432134,0.13671798,0.10128784,0.108532265,0.086236306,0.09870953,0.09482279
0.14748013,0.11641929,0.10389114,0.1383347,0.106604226,0.102137364,0.08868259,0.098602444,0.09784806
0.13174832,0.10655012,0.10142026,0.13756642,0.1048838,0.10196717,0.08889623,0.112852335,0.114115365
0.12698051,0.10779653,0.10050126,0.15913245,0.09699147,0.101931475,0.086008176,0.109456204,0.11120197
0.13545378,0.1122477,0.10219898,0.13239628,0.102082655,0.09901929,0.09285878,0.11169674,0.112045825
0.109332114,0.1178316,0.09015417,0.14574645,0.10148268,0.09094986,0.09559604,0.13031155,0.118595436
0.11479104,0.117710195,0.098424554,0.13225003,0.099097274,0.098079264,0.088621125,0.13261712,0.11840939
0.11871259,0.104624785,0.10247979,0.1235974,0.0932135,0.09726583,0.09541023,0.13688181,0.12781404
