volt_V1,volt_V2,volt_V3,current_A1,current_A2,current_A3,power_kW,power_factor,motor_temp_C
0.1852782,0.18998986,0.15886192,0.21345785,0.15994772,0.1583046,0.14303872,0.21405034,0.19111839
0.19081546,0.16817111,0.1647233,0.19866718,0.14982891,0.15634252,0.15335988,0.2200202,0.2054449
0.24529254,0.19379768,0.16890392,0.22333115,0.172323,0.17251772,0.14954293,0.22169006,0.19671386
0.26406994,0.17564337,0.17199685,0.19791493,0.18340385,0.17149904,0.152908,0.22291808,0.1959475
0.30361563,0.16464573,0.18609661,0.19452894,0.19486019,0.19678906,0.17146347,0.23072384,0.21099289
0.28720218,0.17698231,0.19543926,0.2182673,0.19393653,0.17922886,0.15189955,0.23013647,0.20375046
0.3291287,0.15434027,0.19932064,0.21964654,0.2069733,0.1740715,0.17298687,0.21465173,0.20626584
0.31233817,0.17842788,0.23089945,0.19946444,0.23539364,0.1860806,0.19538388,0.21033613,0.19169404
0.30714232,0.16983993,0.25371054,0.22170109,0.23303665,0.20158115,0.23294556,0.20150803,0.20746197
0.31934047,0.16568261,0.2363227,0.23117264,0.262889,0.16942345,0.19779745,0.19683163,0.21938972
0.33163452,0.15710577,0.22878417,0.24419494,0.26875526,0.2068318,0.20109543,0.22443609,0.2286341
0.32790512,0.15484077,0.2496944,0.24116346,0.24434505,0.20463473,0.2157043,0.22911386,0.21710625
0.2733147,0.1428491,0.21892937,0.24557237,0.23567122,0.19336754,0.19818008,0.2118203,0.20140308
0.2618584,0.14144105,0.19130974,0.22125427,0.21493919,0.20201372,0.20985681,0.22618636,0.20024216
0.2159308,0.14463206,0.18105562,0.24617334,0.1954945,0.19510515,0.18284486,0.20659502,0.18385792
0.24925312,0.17930694,0.19497836,0.21881467,0.21051325,0.19796944,0.20604129,0.18827629,0.1943384
0.23424964,0.19888431,0.17885485,0.24422678,0.22647817,0.2229628,0.17542423,0.18542008,0.17385828
0.23842669,0.19584589,0.23419331,0.23305449,0.19459133,0.20097767,0.14300522,0.19323647,0.17786221
0.25521493,0.21324642,0.20507088,0.23319341,0.17559628,0.20096819,0.14291416,0.17315331,0.16227853
0.2320505,0.18215774,0.18396625,0.22657198,0.18077804,0.21237789,0.13930497,0.16821398,0.16626917
0.22008942,0.21615927,0.21195322,0.20778157,0.17424224,0.21314919,0.16368498,0.16196632,0.19911063
0.23237163,0.2129913,0.22329085,0.19070934,0.18415955,0.183559,0.17680854,0.1837601,0.18823473
0.23959175,0.2441183,0.22383408,0.23213884,0.1823287,0.19883788,0.18240236,0.17353262,0.1878376
0.22175933,0.24650936,0.22482833,0.20103541,0.19051056,0.20630272,0.17613381,0.16030149,0.18080038
0.24124219,0.25740424,0.21774815,0.17787397,0.21023853,0.21499486,0.16761066,0.16458662,0.18738145
0.20082283,0.26304004,0.20224604,0.17814623,0.21676664,0.20461111,0.17084873,0.19392763,0.22683132
0.2072717,0.24918966,0.2015834,0.17803413,0.19908129,0.20020017,0.18870313,0.21694408,0.2308212
